tensor(0.1032, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2766, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2760, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2755, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2751, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2748, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2745, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2744, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2743, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2742, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2742, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2742, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2741, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2741, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2740, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2738, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2736, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2733, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2729, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2725, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2721, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2717, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2713, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2709, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2706, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2703, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2699, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2696, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2693, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2690, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2687, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2683, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2679, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2676, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2672, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2669, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2666, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2663, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2660, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2658, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2655, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2653, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2652, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2650, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2649, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2648, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2647, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2647, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2647, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2648, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2649, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2649, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2650, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2651, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2651, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2652, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2652, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2653, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2654, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2655, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2655, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2657, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2658, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2659, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2660, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2660, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2661, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2662, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2662, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2663, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2663, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2664, device='cuda:0', grad_fn=<AddBackward0>)
